notice_id,source_board,title,category,posted_date,notice_url,content
33,SW중심대학사업단 공지사항,[공지] 융합/특화동아리 학생 선발 안내,학사,2026-04-20,https://swuniv.hs.ac.kr/07_01,
34,SW중심대학사업단 공지사항,"[정정공고] 2026 산학협력 프로젝트 신청 안내 (연구자, 학생)",학사,2026-04-17,https://swuniv.hs.ac.kr/07_01,
35,SW중심대학사업단 공지사항,[홍보] 제16회 SW개발 공모전 사전설명회 신청 및 접수(~4.26),행사,2026-04-15,https://swuniv.hs.ac.kr/07_01,
36,SW중심대학사업단 공지사항,[공지] 2026 SW중심대학 에세이 공모전 교내 최종 출품작 선정 결과 안내,학사,2026-04-14,https://swuniv.hs.ac.kr/07_01,
37,SW중심대학사업단 공지사항,[홍보] 2026년 관광데이터 활용 공모전 웹·앱 개발 부문 (기한: ~5/6까지),행사,2026-04-14,https://swuniv.hs.ac.kr/07_01,
38,SW중심대학사업단 공지사항,[홍보] 서울 플레이업 AI 게임 챌린지 공모전 (4/10~5/7),행사,2026-04-13,https://swuniv.hs.ac.kr/07_01,
39,SW중심대학사업단 공지사항,[홍보] 전국민 AI경진대회 (대학생 트랙: 인공지능 루키대회) 기한: ~5/8까지),행사,2026-04-13,https://swuniv.hs.ac.kr/07_01,
40,SW중심대학사업단 공지사항,[홍보] OpenAPI를 활용한 2026 관광데이터 활용 공모전 개최(웹·앱 개발 부문) (~5/6까지),행사,2026-04-08,https://swuniv.hs.ac.kr/07_01,
41,SW중심대학사업단 공지사항,[안내] 2026년 SW중심대학 AI·블록체인 비지니스 모델 경진대회(~4/24까지),학사,2026-04-08,https://swuniv.hs.ac.kr/07_01,
42,SW중심대학사업단 공지사항,"2026 산학협력 프로젝트 신청 안내 (연구자, 학생)",기타,2026-04-07,https://swuniv.hs.ac.kr/07_01,
43,SW중심대학사업단 공지사항,[홍보] 경북 국제 AI·메타버스 영상 공모전(GAMFF AI 영상 공모전),행사,2026-04-07,https://swuniv.hs.ac.kr/07_01,
44,SW중심대학사업단 공지사항,"[공지] [IITP]TOPCIT 설명회 (4/10 오후 1:00, 송암관)",학사,2026-04-06,https://swuniv.hs.ac.kr/07_01,
45,SW중심대학사업단 공지사항,[안내] 2026 융합/특화동아리 신청 안내(~4/15 17:00까지),학사,2026-04-06,https://swuniv.hs.ac.kr/07_01,
46,SW중심대학사업단 공지사항,[공지] 제25회 TOPCIT 정기시험 접수 안내 (~4/15 17:00까지),학사,2026-04-03,https://swuniv.hs.ac.kr/07_01,
47,SW중심대학사업단 공지사항,2026 산학협력 프로젝트 설명회 개최 4/7(화) 점심시간,학사,2026-04-02,https://swuniv.hs.ac.kr/07_01,
48,SW중심대학사업단 공지사항,[홍보] 2026년 AI ROOKIE 대회 (신청기간: ~5/8 17:00까지),행사,2026-03-31,https://swuniv.hs.ac.kr/07_01,
49,SW중심대학사업단 공지사항,[공지] 전공탐색박람회 융합/특화전공 상담 부스 안내,학사,2026-03-30,https://swuniv.hs.ac.kr/07_01,
50,SW중심대학사업단 공지사항,[공지] 2026-1 클린코딩클리닉 멘토 추가신청 안내!!! (조별신청마감),학사,2026-03-10,https://swuniv.hs.ac.kr/07_01,
51,SW중심대학사업단 공지사항,[소중협] 2026 SW중심대학 에세이 공모전 (제출기한: ~4/10까지),학사,2026-03-09,https://swuniv.hs.ac.kr/07_01,
52,SW중심대학사업단 공지사항,[안내] 2026-1학기 SW중심대학 노트북 대여 신청 안내,학사,2026-03-04,https://swuniv.hs.ac.kr/07_01,
53,SW중심대학사업단 공지사항,[공지] 2026 융합전공 설명회 (사전신청: ~3/4(수)까지),학사,2026-02-26,https://swuniv.hs.ac.kr/07_01,
54,SW중심대학사업단 공지사항,[공지] 2026 특화전공 설명회 (사전신청: ~3/3(화)까지),학사,2026-02-26,https://swuniv.hs.ac.kr/07_01,
