course_id,course_code,course_name,credit,theory_hours,practice_hours,course_description,source_url
122,KYD10,5주만행렬에집중,3.0,3.0,0.0,KYC26 이수자 수강불가/집중이수제과목/교내온라인,https://sugang.hs.ac.kr/course/subject/list
123,*KY042,영화로배우는한국어와한국문화,3.0,3.0,0.0,외국인학생 전용강의 / 신설(2024.11.27),https://sugang.hs.ac.kr/course/subject/list
124,KY661,취창업스쿨1,3.0,3.0,0.0,"P/NP 2,3,4학년 교내온라인 , 진로선택과취업준비와 동일학기 중복 수강 불가",https://sugang.hs.ac.kr/course/subject/list
125,KYC01,좋은기업찾기프로젝트,3.0,3.0,0.0,교내온라인,https://sugang.hs.ac.kr/course/subject/list
126,KY593,진로선택과취업준비,3.0,3.0,0.0,"3,4학년만 수강/온라인수업/P/NP교과목, 외부온라인 // 외부온라인",https://sugang.hs.ac.kr/course/subject/list
127,EK201,글로벌경영론,3.0,3.0,0.0, ,https://sugang.hs.ac.kr/course/subject/list
128,TT111,목회실습Ⅰ,1.0,1.0,0.0, ,https://sugang.hs.ac.kr/course/subject/list
129,HK105,한국문학개론,3.0,3.0,0.0,전공필수교과목. 한국어교육트랙 4영역 ,https://sugang.hs.ac.kr/course/subject/list
130,HH406,한국사사료읽기1,2.0,2.0,0.0, ,https://sugang.hs.ac.kr/course/subject/list
131,HN613,동아시아경제지리,3.0,3.0,0.0, ,https://sugang.hs.ac.kr/course/subject/list
132,HP141,서양고중세철학사,3.0,3.0,0.0, ,https://sugang.hs.ac.kr/course/subject/list
133,HP137,철학여행Ⅰ,1.0,1.0,0.0,철학 재학생(복수전공 포함)만 수강 가능,https://sugang.hs.ac.kr/course/subject/list
134,HE275,영미문화의이해,3.0,3.0,0.0, ,https://sugang.hs.ac.kr/course/subject/list
135,EZ238,파이썬프로그래밍기초,3.0,3.0,0.0, ,https://sugang.hs.ac.kr/course/subject/list
136,EJ203,국제개발협력의이해,3.0,3.0,0.0, ,https://sugang.hs.ac.kr/course/subject/list
137,EB312,재무관리,3.0,3.0,0.0,경영학 전공 재학생 수강신청 선수이수과목: 회계의 이해 또는 회계원리 //전공(복수포함)자 // 전공(복수포함)자,https://sugang.hs.ac.kr/course/subject/list
138,HH116,한국사학입문,3.0,3.0,0.0, ,https://sugang.hs.ac.kr/course/subject/list
139,EB203,조직행동론,3.0,3.0,0.0,전공(복수포함)자 // 전공(복수포함)자,https://sugang.hs.ac.kr/course/subject/list
140,HH272,기록학입문,3.0,3.0,0.0, ,https://sugang.hs.ac.kr/course/subject/list
141,HH470,학술답사A,0.5,0.5,0.0, ,https://sugang.hs.ac.kr/course/subject/list
142,TT151,신앙수련회Ⅱ,1.0,1.0,0.0, ,https://sugang.hs.ac.kr/course/subject/list
143,HS217,고전사회학탐구,3.0,3.0,0.0, ,https://sugang.hs.ac.kr/course/subject/list
144,TT632,그리스도교신학과문화 ,3.0,3.0,0.0, ,https://sugang.hs.ac.kr/course/subject/list
145,HE219,영문학개관,3.0,3.0,0.0, ,https://sugang.hs.ac.kr/course/subject/list
146,DV101,문화콘텐츠학,3.0,3.0,0.0,"디영문콘,디문콘,영상문화 소속 전공자에 한함 / 복수전공자 및 타과생 수강 금지 // 전공(복수포함)자",https://sugang.hs.ac.kr/course/subject/list
