schedule_id,offering_id,day_of_week,start_time,end_time,classroom
4294,4014,월,14:30:00,15:45:00,7202
4295,4014,수,14:30:00,15:45:00,7202
4296,4015,월,17:30:00,18:45:00,7215
4297,4015,수,16:00:00,17:15:00,7215
4298,4016,목,13:00:00,14:15:00,2202
4299,4016,목,14:30:00,15:45:00,2202
4300,4017,월,14:30:00,15:45:00,3408
4301,4017,수,14:30:00,15:45:00,3408
4302,4018,금,13:00:00,14:15:00,3308
4303,4018,금,14:30:00,15:45:00,3308
4304,4019,금,16:00:00,17:15:00,3308
4305,4019,금,17:30:00,18:45:00,3308
4306,4020,금,13:00:00,14:15:00,3408
4307,4020,금,14:30:00,15:45:00,3408
4308,4021,월,13:00:00,14:15:00,3408
4309,4021,수,13:00:00,14:15:00,3408
4310,4022,금,09:30:00,10:45:00,10205
4311,4022,금,11:00:00,12:15:00,10205
4312,4023,금,13:00:00,14:15:00,10205
4313,4023,금,14:30:00,15:45:00,10205
4314,4024,월,17:30:00,18:20:00,4105
4315,4024,수,16:00:00,16:50:00,4105
4316,4025,월,14:30:00,15:20:00,채플실
4317,4026,수,14:30:00,15:20:00,채플실
4318,4027,월,16:00:00,16:50:00,채플실
4319,4028,수,16:00:00,16:50:00,채플실
4320,4029,화,11:00:00,12:40:00,3321
4321,4030,월,11:00:00,12:40:00,18519
4322,4031,월,11:00:00,12:40:00,18211
4323,4032,화,11:00:00,12:40:00,18421
4324,4033,금,11:00:00,12:40:00,18106
4325,4034,수,11:00:00,12:40:00,18420
4326,4035,화,17:30:00,19:10:00,18520
4327,4036,월,17:30:00,19:10:00,18211
4328,4037,월,17:30:00,18:20:00,4107
4329,4038,월,17:30:00,18:20:00,채플실
4330,4039,금,13:00:00,14:15:00,18420
4331,4039,금,14:30:00,15:45:00,18420
4332,4220,화,13:00:00,14:15:00,18212
4333,4220,화,14:30:00,15:45:00,18212
4334,4221,월,16:00:00,17:15:00,20404
4335,4223,목,13:00:00,14:15:00,18420
4336,4223,목,14:30:00,15:45:00,18420
4337,4225,금,11:00:00,12:40:00,3207
4338,4226,월,13:00:00,14:15:00,18211
4339,4228,월,13:00:00,14:15:00,10204
4340,4228,월,14:30:00,15:45:00,10301
4341,4229,월,11:00:00,12:15:00,3203
4342,4230,화,13:00:00,14:15:00,18520
4343,4230,화,14:30:00,15:45:00,18520
4344,4231,목,13:00:00,14:15:00,18211
4345,4231,목,14:30:00,15:45:00,18211
4346,4232,목,13:00:00,14:15:00,7108
4347,4232,목,14:30:00,15:45:00,7108
4348,4234,월,11:00:00,12:15:00,20403
4349,4234,수,09:30:00,10:45:00,20403
4350,4236,월,13:00:00,14:15:00,18420
4351,4236,수,13:00:00,14:15:00,18420
4352,4238,월,09:30:00,10:45:00,7215
4353,4238,수,11:00:00,12:15:00,7215
4354,4239,목,13:00:00,14:15:00,18212
4355,4239,목,14:30:00,15:45:00,18212
4356,4240,화,13:00:00,14:15:00,3321
4357,4240,목,13:00:00,14:15:00,3321
4358,4241,월,09:30:00,10:45:00,18418
4359,4241,수,11:00:00,12:15:00,18418
4360,4242,금,09:30:00,10:45:00,10204
4361,4242,금,11:00:00,12:15:00,10204
4362,4243,금,09:30:00,10:45:00,10301
4363,4243,금,11:00:00,12:15:00,10301
4364,4244,목,09:30:00,10:45:00,10301
4365,4244,목,11:00:00,12:15:00,10301
4366,4245,화,13:00:00,14:15:00,10301
4367,4245,화,14:30:00,15:45:00,10301
4368,4246,목,13:00:00,14:15:00,10206
4369,4246,목,14:30:00,15:45:00,10206
4370,4254,화,16:00:00,17:15:00,7215
4371,4254,화,17:30:00,18:45:00,7215
4372,4256,월,14:30:00,15:45:00,3308
4373,4256,수,14:30:00,15:45:00,3308
4374,4257,목,16:00:00,17:15:00,18519
4375,4257,목,17:30:00,18:45:00,18519
4376,4258,화,16:00:00,17:15:00,18420
4377,4258,화,17:30:00,18:45:00,18420
4378,4259,금,13:00:00,14:40:00,18102
4379,4260,수,17:30:00,19:10:00,18212
4380,4261,수,11:00:00,12:40:00,18211
4381,4262,금,17:30:00,19:10:00,4107
4382,4263,수,17:30:00,19:10:00,18211
4383,4264,금,11:00:00,12:40:00,18211
4384,4265,화,11:00:00,12:40:00,4107
4385,4266,금,16:00:00,17:15:00,3505
4386,4266,금,17:30:00,18:45:00,3505
4387,4267,월,16:00:00,16:50:00,4107
4388,4268,월,16:00:00,16:50:00,4105
4389,4269,월,16:00:00,16:50:00,3410
4390,4270,월,16:00:00,16:50:00,20502
4391,4271,월,16:00:00,16:50:00,3407
4392,4272,월,16:00:00,16:50:00,3405
4393,4273,월,16:00:00,16:50:00,3406
4394,4274,월,16:00:00,16:50:00,3411
4395,4275,월,16:00:00,16:50:00,3308
4396,4276,월,18:50:00,19:40:00,18101
4397,4277,수,18:50:00,19:40:00,18110
4398,4278,월,18:50:00,19:40:00,3204
4399,4279,월,18:50:00,19:40:00,3409
4400,4280,수,16:00:00,16:50:00,3407
4401,4281,월,16:00:00,16:50:00,3202
4402,4282,월,16:00:00,16:50:00,3203
4403,4283,월,16:00:00,16:50:00,18104
4404,4284,월,16:00:00,16:50:00,18102
4405,4285,월,16:00:00,16:50:00,18103
4406,4286,월,16:00:00,16:50:00,7107
4407,4287,월,16:00:00,16:50:00,18110
4408,4288,수,16:00:00,16:50:00,3412
4409,4289,수,18:50:00,19:40:00,3506
4410,4290,수,16:00:00,16:50:00,20505
4411,4291,월,16:00:00,16:50:00,3506
4412,4292,월,16:00:00,16:50:00,20507
4413,4293,수,16:00:00,16:50:00,3411
4414,4294,수,16:00:00,16:50:00,3505
4415,4295,수,17:30:00,18:20:00,3412
